data_year,ori,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,county_name,agency_type_name,population_group_desc,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
2018,TX1660100,Cameron,,TX,West South Central,South,MILAM,City,"Cities from 2,500 thru 9,999",5524,,,,,,,,,,
2018,TX1720500,Naples,,TX,West South Central,South,MORRIS,City,"Cities under 2,500",1319,1,0,1,3,1,4,4,1,5,3.79
2018,TX1810100,Bridge City,,TX,West South Central,South,ORANGE,City,"Cities from 2,500 thru 9,999",8208,14,1,15,2,5,7,16,6,22,2.68
2018,TX1810300,Pinehurst,,TX,West South Central,South,ORANGE,City,"Cities under 2,500",2070,5,0,5,1,2,3,6,2,8,3.86
2018,TX1880400,Texas State Technical College:,Amarillo,TX,West South Central,South,POTTER,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX1910000,Randall,,TX,West South Central,South,RANDALL,County,"MSA counties from 10,000 thru 24,999",24115,86,65,151,10,49,59,96,114,210,8.71
2018,TX2100000,Shelby,,TX,West South Central,South,SHELBY,County,"Non-MSA counties from 10,000 thru 24,999",18985,13,8,21,2,7,9,15,15,30,1.58
2018,TX2204900,University of North Texas:,Health Science Center,TX,West South Central,South,TARRANT,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0080100,Bellville,,TX,West South Central,South,AUSTIN,City,"Cities from 2,500 thru 9,999",4257,10,0,10,1,1,2,11,1,12,2.82
2018,TX0080800,San Felipe,,TX,West South Central,South,AUSTIN,City,"Cities under 2,500",833,,,,,,,,,,
2018,TX0142300,Texas A&M University:,Central Texas,TX,West South Central,South,BELL,University or College,"Cities under 2,500",0,,,,,,,,,,
2018,TX0550100,Van Horn,,TX,West South Central,South,CULBERSON,City,"Cities under 2,500",1899,,,,,,,,,,
2018,TX0650100,Clarendon,,TX,West South Central,South,DONLEY,City,"Cities under 2,500",1741,,,,,,,,,,
2018,TX0790400,Stafford,,TX,West South Central,South,HARRIS; FORT BEND,City,"Cities from 10,000 thru 24,999",18393,47,3,50,11,15,26,58,18,76,4.13
2018,TX1050300,Texas State University:,San Marcos,TX,West South Central,South,HAYS,University or College,"Cities under 2,500",0,28,14,42,6,9,15,34,23,57,
2018,TX1080600,Hidalgo,,TX,West South Central,South,HIDALGO,City,"Cities from 10,000 thru 24,999",14133,,,,,,,,,,
2018,TX1083000,Penitas,,TX,West South Central,South,HIDALGO,City,"Cities from 2,500 thru 9,999",4961,13,0,13,0,2,2,13,2,15,3.02
2018,TX1100500,Anton,,TX,West South Central,South,HOCKLEY,City,"Cities under 2,500",1097,,,,,,,,,,
2018,TX1380000,Knox,,TX,West South Central,South,KNOX,County,"Non-MSA counties under 10,000",1274,3,2,5,0,4,4,3,6,9,7.06
2018,TX1390200,Paris,,TX,West South Central,South,LAMAR,City,"Cities from 10,000 thru 24,999",24736,,,,,,,,,,
2018,TX1710400,Cactus,,TX,West South Central,South,MOORE,City,"Cities from 2,500 thru 9,999",3268,5,1,6,3,1,4,8,2,10,3.06
2018,TX1750100,Corsicana,,TX,West South Central,South,NAVARRO,City,"Cities from 10,000 thru 24,999",23660,,,,,,,,,,
2018,TX1880000,Potter,,TX,West South Central,South,POTTER,County,"MSA counties from 10,000 thru 24,999",15184,83,73,156,15,32,47,98,105,203,13.37
2018,TX1990100,Rockwall,,TX,West South Central,South,ROCKWALL,City,"Cities from 25,000 thru 49,999",45183,,,,,,,,,,
2018,TX2201100,Forest Hill,,TX,West South Central,South,TARRANT,City,"Cities from 10,000 thru 24,999",13037,,,,,,,,,,
2018,TX2201700,Kennedale,,TX,West South Central,South,TARRANT,City,"Cities from 2,500 thru 9,999",8587,,,,,,,,,,
2018,TX2204000,Colleyville,,TX,West South Central,South,TARRANT,City,"Cities from 25,000 thru 49,999",27262,30,0,30,6,4,10,36,4,40,1.47
2018,TX2370800,Prairie View ,,TX,West South Central,South,WALLER,City,"Cities from 2,500 thru 9,999",6526,,,,,,,,,,
2018,TX2500500,Winnsboro,,TX,West South Central,South,FRANKLIN; WOOD,City,"Cities from 2,500 thru 9,999",3337,,,,,,,,,,
2018,TX0140700,Temple,,TX,West South Central,South,BELL,City,"Cities from 50,000 thru 99,999",75706,122,5,127,18,29,47,140,34,174,2.30
2018,TX0190200,Maud,,TX,West South Central,South,BOWIE,City,"Cities under 2,500",1067,,,,,,,,,,
2018,TX0310000,Cameron,,TX,West South Central,South,CAMERON,County,"MSA counties 100,000 or over",104557,113,276,389,7,109,116,120,385,505,4.83
2018,TX0500100,Copperas Cove,,TX,West South Central,South,LAMPASAS; CORYELL,City,"Cities from 25,000 thru 49,999",32754,43,3,46,5,14,19,48,17,65,1.98
